species,date_of_search,family,lon,lat,year,country
Leopardus geoffroyi,2021-05-04,Felidae,-59.9,-22.1,1976,PY
Leopardus geoffroyi,2021-05-04,Felidae,-59.24443,-23.88226,1979,PY
Leopardus geoffroyi,2021-05-04,Felidae,-60.1,-20.45,1977,PY
Leopardus geoffroyi,2021-05-04,Felidae,-60.321,-20.63333,1977,PY
Leopardus geoffroyi,2021-05-04,Felidae,-58.891518,-34.21363,2018,AR
Leopardus geoffroyi,2021-05-04,Felidae,-61.190291,-30.18549,2018,AR
Leopardus geoffroyi,2021-05-04,Felidae,-71.231764,-47.356561,2013,AR
Leopardus geoffroyi,2021-05-04,Felidae,-60.981443,-30.728222,2016,AR
Leopardus geoffroyi,2021-05-04,Felidae,-60.937565,-30.93977,2018,AR
Leopardus geoffroyi,2021-05-04,Felidae,-61.030787,-30.735964,2017,AR
Leopardus geoffroyi,2021-05-04,Felidae,-61.03102,-30.735701,2017,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.166939,-28.539837,2015,AR
Leopardus geoffroyi,2021-05-04,Felidae,-65.349152,-41.620878,2018,AR
Leopardus geoffroyi,2021-05-04,Felidae,-67.95,-34.05,NA,AR
Leopardus geoffroyi,2021-05-04,Felidae,-67.95,-34.05,NA,AR
Leopardus geoffroyi,2021-05-04,Felidae,-67.95,-34.05,NA,AR
Leopardus geoffroyi,2021-05-04,Felidae,-67.95,-34.05,NA,AR
Leopardus geoffroyi,2021-05-04,Felidae,-65.41667,-24.03333,1899,AR
Leopardus geoffroyi,2021-05-04,Felidae,-65.597159,-37.969601,NA,AR
Leopardus geoffroyi,2021-05-04,Felidae,-65.597159,-37.969601,NA,AR
Leopardus geoffroyi,2021-05-04,Felidae,-64.792924,-28.370212,NA,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.15723,-35.390309,2016,AR
Leopardus geoffroyi,2021-05-04,Felidae,-59.641171,-33.737188,2015,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.516667,-34.166667,NA,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.516667,-34.166667,NA,AR
Leopardus geoffroyi,2021-05-04,Felidae,-71.905518,-51.582258,2005,AR
Leopardus geoffroyi,2021-05-04,Felidae,-56.48333,-34.2,1973,UY
Leopardus geoffroyi,2021-05-04,Felidae,-59.18333,-23.2,1972,PY
Leopardus geoffroyi,2021-05-04,Felidae,-59.18333,-23.2,1973,PY
Leopardus geoffroyi,2021-05-04,Felidae,-67.694351,-48.402344,1925,AR
Leopardus geoffroyi,2021-05-04,Felidae,-56.710396,-36.805436,2015,AR
Leopardus geoffroyi,2021-05-04,Felidae,-82.9167,39.9833,1987,US
Leopardus geoffroyi,2021-05-04,Felidae,-82.9167,39.9833,1987,US
Leopardus geoffroyi,2021-05-04,Felidae,-82.9167,39.9833,1987,US
Leopardus geoffroyi,2021-05-04,Felidae,-71.8527223273616,-46.3037009530271,1965,CL
Leopardus geoffroyi,2021-05-04,Felidae,-58.04946,-38.00447,1968,AR
Leopardus geoffroyi,2021-05-04,Felidae,-63.533699,-37.747101,1995,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.199921,-28.546171,2013,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.22435,-28.636363,2009,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.9,-34.9,NA,AR
Leopardus geoffroyi,2021-05-04,Felidae,-59,-34.4,NA,AR
Leopardus geoffroyi,2021-05-04,Felidae,-62,-33,NA,AR
Leopardus geoffroyi,2021-05-04,Felidae,-62,-33,NA,AR
Leopardus geoffroyi,2021-05-04,Felidae,-62,-33,NA,AR
Leopardus geoffroyi,2021-05-04,Felidae,-60.894165,-26.034903,NA,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.08139,-25.02649,2007,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.13671,-25.13998,2004,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.13051,-25.17069,2004,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.17324,-25.12037,2004,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.17324,-25.12037,2004,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.17324,-25.12037,2004,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.13209,-25.17164,2004,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.08139,-25.02649,2007,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.08139,-25.02649,2007,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.08139,-25.02649,2007,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.08139,-25.02649,2007,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.3194,-31.85432,2006,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.26967,-31.86357,2006,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.01747,-27.99825,2010,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.13364,-28.04739,2010,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.00605,-28.00524,2010,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.01608,-27.98166,2007,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.05301,-28.01888,2007,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.02002,-28.01567,2007,AR
Leopardus geoffroyi,2021-05-04,Felidae,-61.80771,-24.31462,2010,AR
Leopardus geoffroyi,2021-05-04,Felidae,-65.704859,-23.162614,NA,AR
Leopardus geoffroyi,2021-05-04,Felidae,-60.026256,-37.15553,NA,AR
Leopardus geoffroyi,2021-05-04,Felidae,-69.5000453632548,-50.11262070966,1894,AR
Leopardus geoffroyi,2021-05-04,Felidae,-69.5000453632548,-50.11262070966,1894,AR
Leopardus geoffroyi,2021-05-04,Felidae,-62.333301,-22.450001,1945,PY
Leopardus geoffroyi,2021-05-04,Felidae,-58.216667,-33.549999,1926,UY
